numero_serial;modelo;mid;estado;nome;nome_fantasia;codigo;fornecedor;AQUISICAO
VF80062368;X990;1198351;NO CLIENTE;DIMAS LUI GODOI;ADEGA GOLD BEER;1708;ANA PAULA MIELLI;ALUGADA
VF80062221;X990;1198189;NO CLIENTE;MAICO DO PRADO LUCATELI;MAICO CAFETERIA E LANCHONETE;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80062367;X990;1086830;NO CLIENTE;JORDANIA ROGERIA DO NASCIMENTO;LUA CHEIA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062402;X990;1059309;NO CLIENTE;ENELIRAN OSCAR DA SILVA DANTAS;SHINZOO SUSHI;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062567;X990;1125957;NO CLIENTE;MARCIA CIBELE ROBATINI;FLORES E FLORES FLORICULTURA;1708;ANA PAULA MIELLI;ALUGADA
VF80062674;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80062679;X990;1172093;NO CLIENTE;DEUSILES DE FATIMA FERREIRA PETRO;QUITANDA FERREIRA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062410;X990;307591;NO CLIENTE;CLEBER OLIANI HARADA;AGRO RIO AGROPECUARIA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062711;X990;1047017;NO CLIENTE;XODO FASHION LTDA;XODO FASHION LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80062531;X990;1212957;NO CLIENTE;CAIUBY VIEIRA GONCALVES;CAIUBY VIEIRA GONCALVES;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80062718;X990;314373;NO CLIENTE;MITRA DIOCESANA DE BRAGANCA PAULISTA;PAROQUIA NOSSA SENHORA DA CONCEICAO RELIGIOSA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062760;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80062722;X990;1037860;NO CLIENTE;PAULO FERREIRA DOS SANTOS JUNIOR;EMPORIO SOCORRO;1708;ANA PAULA MIELLI;ALUGADA
VF80062727;X990;1037433;NO CLIENTE;CENTRO DE LAZER PITAUA LTDA;CENTRO DE LAZER PITAUA LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80062697;X990;1091194;NO CLIENTE;VICTOR MANOEL ALEIXO SANTOS CAVALCANTE;MACLAREN'S BURGUER;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062512;X990;295365;NO CLIENTE;MAX WILLIAN CALPACI;MAX TESTES;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062690;X990;303479;NO CLIENTE;ORTOART CLINICA ESPECIALIZADA LTDA;ORTOART;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062748;X990;1021801;NO CLIENTE;ALAKAZAN ESFIHARIA LTDA;ALAKAZAN ESFIHARIA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062505;X990;314210;NO CLIENTE;JOSILU COMERCIO E CONFECCOES LTDA;JOSILU COLCHOES;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062519;X990;314210;NO CLIENTE;JOSILU COMERCIO E CONFECCOES LTDA;JOSILU COLCHOES;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062732;X990;1021801;NO CLIENTE;ALAKAZAN ESFIHARIA LTDA;ALAKAZAN ESFIHARIA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062708;X990;1217280;NO CLIENTE;FRANCISCO HAMILTON DE FREITAS MEDEIROS;INOVA COLCHOES;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80062483;X990;303673;NO CLIENTE;CENTRO DE FORMACAO DE CONDUTORES SOCORRENSE LTDA;AUTO ESCOLA SOCORRENSE;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80063303;X990;1037860;NO CLIENTE;PAULO FERREIRA DOS SANTOS JUNIOR;EMPORIO SOCORRO;1708;ANA PAULA MIELLI;ALUGADA
VF80063141;X990;1223544;NO CLIENTE;RS ALVES LANCHONETE;O REI DO SUCO;2980;SUPERAPP SERVICOS;ALUGADA
VF80010395;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80005234;X990;1116444;NO CLIENTE;DORGIVAL PEREIRA DOS SANTOS;POUSADA CARUARU;1708;ANA PAULA MIELLI;ALUGADA
VF80063137;X990;1212945;NO CLIENTE;PWA TECNOLOGIA LTDA;PWA TECNOLOGIA LTDA;2820;TRION PARTNERS LTDA;ALUGADA
VF80063150;X990;1222861;NO CLIENTE;MATEUS HENRIQUE DE MORAES POLI;MATEUS POLI FISIOTERAPIA LTDA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005384;X990;1207098;NO CLIENTE;SUPERAPP SERVICOS DE INFORMACOES CADASTRAIS LTDA;SUPERAPP;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80010396;X990;1199866;NO CLIENTE;CAO SILVA LTDA;G EXATAPAY;2932;GRUPO EXATAPAY;ALUGADA
VF80005187;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008920;X990;1200645;NO CLIENTE;TUBARAO BURGUER GRILL;TUBARAO BURGUER GRILL;1708;ANA PAULA MIELLI;ALUGADA
VF80005387;X990;1199866;NO CLIENTE;CAO SILVA LTDA;G EXATAPAY;2932;GRUPO EXATAPAY;ALUGADA
VF80063158;X990;1059309;NO CLIENTE;ENELIRAN OSCAR DA SILVA DANTAS;SHINZOO SUSHI;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005395;X990;1091194;NO CLIENTE;VICTOR MANOEL ALEIXO SANTOS CAVALCANTE;MACLAREN'S BURGUER;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063157;X990;1058413;NO CLIENTE;LETYCIA GOMES LIRA ARAUJO;BONNA MASSA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063134;X990;1059304;NO CLIENTE;CLAYTON WERSON DA SILVA;BENTUS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063156;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063134;X990;1059304;NO CLIENTE;CLAYTON WERSON DA SILVA;BENTUS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009932;X990;1196823;NO CLIENTE;WEDSON CUNHA SANTOS;FARMACIA FBB;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80002846;X990;1090383;NO CLIENTE;ELSON CARLOS FERREIRA DOS NASCIMENTO;ELSON OTICA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009965;X990;1058413;NO CLIENTE;LETYCIA GOMES LIRA ARAUJO;BONNA MASSA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80004139;X990;1199952;NO CLIENTE;A L DE LIMA SOUZA LTDA;MUNDO 20;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063168;X990;1196286;NO CLIENTE;DONGXIAN LU;SHOPPI DA CIDADE;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008927;X990;1058413;NO CLIENTE;LETYCIA GOMES LIRA ARAUJO;BONNA MASSA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005241;X990;1198023;NO CLIENTE;PESQUEIRA COMERCIO DE UTILIDADES LTDA;CASA NOVA IMPORTADOS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005390;X990;1075850;NO CLIENTE;SIMONE ROBERTA MARQUES DE SOUZA;VIP IMPORTS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009037;X990;1086830;NO CLIENTE;JORDANIA ROGERIA DO NASCIMENTO;LUA CHEIA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005269;X990;1198023;NO CLIENTE;PESQUEIRA COMERCIO DE UTILIDADES LTDA;CASA NOVA IMPORTADOS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80004738;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008367;X990;299682;NO CLIENTE;SELMA APARECIDA BOVI ZUCCON;HOTEL 7 BELLO;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80010338;X990;1197309;NO CLIENTE;JACKSON ROMERO FERREIRA E SILVA;MATUTOS GRILL;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80010397;X990;1026739;NO CLIENTE;J N B AMORIM;A MANA SHOPPING;1708;ANA PAULA MIELLI;ALUGADA
VF80008918;X990;1197309;NO CLIENTE;JACKSON ROMERO FERREIRA E SILVA;MATUTOS GRILL;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008546;X990;1197309;NO CLIENTE;JACKSON ROMERO FERREIRA E SILVA;MATUTOS GRILL;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005231;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005228;X990;1186029;NO CLIENTE;W L ARTIGOS DE ARMARINHO LTDA;SHOPPING 7;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008923;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008449;X990;307598;NO CLIENTE;DOUGLAS SARTORI RISSATO;CEMAR - DOUGLAS SARTORI RISSATO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005238;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80008586;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80005218;X990;307919;NO CLIENTE;TOYOMI TANIGUCHI LTDA;MECANICA TANIGUCHI;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002911;X990;977681;NO CLIENTE;MERCADINHO BROLEZE-LTDA;MERCADINHO BROLEZE-LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80010405;X990;1037433;NO CLIENTE;CENTRO DE LAZER PITAUA LTDA;CENTRO DE LAZER PITAUA LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80004764;X990;314187;NO CLIENTE;TELMA TOZETE APARECIDA DOS SANTOS;TELMA - AS MENINAS;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005229;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80008922;X990;302813;NO CLIENTE;BEB PIZZARIA LTDA;BELLA PIZZARIA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80008433;X990;1185696;NO CLIENTE;SV PAGAMENTOS LTDA;SV PAG;2850;SV PAGAMENTOS LTDA;ALUGADA
VF80005382;X990;307620;NO CLIENTE;SONILEI DE FATIMA PRETO;HORTIFRUTI CENTRAL;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80005398;X990;1207098;NO CLIENTE;SUPERAPP SERVICOS DE INFORMACOES CADASTRAIS LTDA;SUPERAPP;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
